source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	6	136.01974487304688	104.1401138305664	0.9399973770313819	5.992547036856095	982985.3308016155	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	0	72.13693237304688	83.36907958984375	0.44000275795065813	7.182318731249662	15216638.780176003	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	1	93.85709381103516	87.06768798828125	0.6100009690431765	6.970461221887906	9342459.458032459	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	2	114.29959106445312	90.99502563476562	0.769999225652205	6.745502025732308	5565472.302227998	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	3	127.07615661621094	95.54377746582031	0.8699981733536865	6.48494802005842	3054555.496968778	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	4	133.46444702148438	99.47613525390625	0.9199977069177689	6.259701268535566	1818449.5993647277	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	5	134.74209594726562	101.90660095214844	0.9299975419745754	6.12048339144528	1319724.8410189745	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	6	136.01974487304688	104.1401138305664	0.9399973770313819	5.992547036856095	982985.3308016155	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	7	137.2974090576172	105.29493713378906	0.9499973315148715	5.926398377031219	844108.7011326356	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	8	138.5750732421875	106.36254119873047	0.9599972859983614	5.865245663951748	733239.1815066105	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	9	139.85272216796875	108.2784194946289	0.9699971210551679	5.7555035230479525	569512.8440644131	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	10	141.13037109375	110.13101196289062	0.9799969561119743	5.649386415231379	446052.9492624262	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	11	142.4080352783203	114.78728485107422	0.9899969105954642	5.38267356793022	241364.59653649468	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	12	143.17462158203125	118.31046295166016	0.9959967877442113	5.180864763909943	151657.80427365267	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	17	16	404	13	143.43014526367188	119.7662124633789	0.9979967069848992	5.097478951576413	125163.86099121979	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	0	64.471	170.62912311202874	0.38000344378833695	6.068843904683893	1171774.1275744967	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	1	74.25784301757812	171.42921447753906	0.4566025892404382	6.023014407289557	1054421.8752130668	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	2	92.52833557128906	173.77392578125	0.5996011143102274	5.888708570211371	773942.2758263478	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	3	110.12165069580078	178.45846557617188	0.7372995428828168	5.620376585166007	417231.01576215395	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	4	125.03190612792969	182.7626953125	0.8539983417214495	5.37382888575438	236498.7696650948	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	5	135.31703186035156	187.01559448242188	0.9344974199794649	5.130221418122236	134965.0805173382	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	6	141.01539611816406	191.76217651367188	0.9790970760523432	4.858335633310112	72166.49839332602	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	7	143.161865234375	197.11940002441406	0.9958969470368655	4.55147210308086	35601.81204667482	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ64	17	16	221	8	143.64735412597656	203.34390258789062	0.9996967458234991	4.194930542565528	15665.005170555492	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	0	64.471	169.99617167103034	0.38000344378833695	6.105099572056927	1273795.0945333012	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	1	74.25784301757812	169.8189239501953	0.4566025892404382	6.115252379986531	1303924.3031515079	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	2	92.52833557128906	173.2194061279297	0.5996011143102274	5.920471638908834	832667.5478332673	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	3	110.12165069580078	176.8461456298828	0.7372995428828168	5.712730803649745	516096.36906088464	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	4	125.03190612792969	181.77284240722656	0.8539983417214495	5.430527986755264	269480.89853271516	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	5	135.31703186035156	186.341796875	0.9344974199794649	5.168816767384573	147508.40511918731	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	6	141.01539611816406	191.0989990234375	0.9790970760523432	4.896322658756004	78763.07420357774	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	7	143.161865234375	196.12477111816406	0.9958969470368655	4.608444774993451	40592.40425559596	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ32	17	16	230	8	143.63458251953125	201.295654296875	0.9995967856894696	4.312254880463092	20523.6632630989	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	0	64.471	171.17879508828383	0.38000344378833695	6.037358512528142	1089829.3823596982	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	1	74.25784301757812	171.59213256835938	0.4566025892404382	6.013682405295038	1032006.434962445	0
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	PQ16	17	16	239	2	92.52833557128906	172.52304077148438	0.5996011143102274	5.960359676281117	912766.4661309881	0
