dataset,dataset_label,recall_tag,recall_label,method,method_label,recall_raw,recall_2dp,qps,cycle,ef,lbq,data_status,config_ref
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.964000,0.96,4063.213650,59066547,1000,6000,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef1000_lbq6000.yaml
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.499000,0.50,237035.183000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.569800,0.57,192819.295000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.644300,0.64,143636.523000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.742600,0.74,108243.686000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.806100,0.81,92822.127000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.899800,0.90,46001.645000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,cpu,CPU,0.957400,0.96,21021.805000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.591800,0.59,71428.570000,,100,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.669500,0.67,54347.830000,,130,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.726000,0.73,51020.410000,,160,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.780600,0.78,36764.710000,,200,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.819600,0.82,35460.990000,,240,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.848300,0.85,27700.830000,,280,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.870500,0.87,23640.660000,,320,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,bang,BANG,0.928500,0.93,14367.820000,,512,,external_frozen_plot_input,
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.640000,0.64,622694.085963,385422,20,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0020_queue0100.yaml
deep1b,DEEP1B,r100,Recall@100,ansmet,ANSMET,0.728000,0.73,451597.242999,531447,30,,verified_original_yaml_stats,ae/figure18/configs/deep1b/r100/ansmet/ansmet_ef0030_queue0100.yaml
